 & Gauss & Poisson & Binomial \\ 
range(50) & 0.002910 & 0.074889 & 0.021244 \\ 
range(100) & 0.001472 & 0.063056 & 0.016119 \\ 
range(300) & 0.000487 & 0.044869 & 0.011275 \\ 
range(500) & 0.000301 & 0.037659 & 0.009719 \\ 
range(800) & 0.000195 & 0.031871 & 0.008521 \\ 
range(1000) & 0.000159 & 0.029427 & 0.008014 \\ 
range(1500) & 0.000111 & 0.025494 & 0.007185 \\ 
range(2000) & 0.000086 & 0.023055 & 0.006656 \\ 
range(2500) & 0.000070 & 0.021346 & 0.006274 \\ 
range(3000) & 0.000060 & 0.020053 & 0.005980 \\ 
